trader_id,win_rate,avg_profit,avg_loss,profit_factor,avg_return_pct,avg_holding_days,holding_variance,trades_per_month,avg_trades_per_day,max_loss_streak,max_win_streak,avg_position_size,position_size_variance,risk_escalation_ratio,pnl_std,post_loss_position_change,post_loss_trade_delay,avg_gap_between_trades,same_day_trade_ratio
1,0.6086956521739131,754.7496428571428,526.7722222222222,2.228771659688459,1.9036329686199138,17.67391304347826,8.740847525208137,4.6,0.15333333333333332,4,4,13876.832608695653,3247.494696008968,1.0233982674137065,828.7831215696273,-1148.4083333333333,0.1111111111111111,6.666666666666667,0.0
2,0.6646341463414634,672.9574311926608,452.50618181818174,2.9473172440838593,2.3015010171808705,17.835365853658537,7.806146264145439,4.509624197983501,0.15032080659945005,5,10,13109.716280487806,3114.6875017826305,1.0126775385908686,699.5235837088668,-696.127818181818,0.07272727272727272,6.693251533742331,0.0
3,0.6122448979591837,711.4873333333331,779.2800000000001,1.4415884568211408,1.4256630589337427,3.1122448979591835,1.3072569302454402,28.823529411764707,0.9607843137254902,4,8,13892.82612244898,4984.62265004933,1.0685241989612657,1029.1537776984235,-879.5370270270269,0.02702702702702703,1.0515463917525774,0.3402061855670103
4,0.5733333333333334,558.5604651162789,537.1621875000001,1.39727933660632,0.5760558674827513,2.9466666666666668,1.4786163485861727,34.090909090909086,1.1363636363636365,5,6,14046.487866666665,4918.204724586954,1.056018175500637,722.5281606263455,367.2078125000002,0.125,0.8918918918918919,0.3918918918918919
5,0.46258503401360546,1497.6298529411763,1591.1475949367089,0.8101694135893955,-0.45105862020774673,5.421768707482993,2.6064334789869346,11.79144385026738,0.393048128342246,7,8,27731.955510204083,13878.213293113899,1.0289336559467346,2083.3725401802444,3195.586666666666,0.3717948717948718,2.5616438356164384,0.1643835616438356
6,0.5534591194968553,699.4057954545455,678.3961971830986,1.2778213653453163,0.9325421194556963,2.9685534591194966,1.3660503152871737,24.58762886597938,0.8195876288659794,5,8,13549.743899371071,4861.872353220909,1.0213699573270296,908.1846003069326,-81.17309859154929,0.09859154929577464,1.2278481012658229,0.23417721518987342
7,0.5649717514124294,2615.9880999999996,2955.085454545454,1.1496747539504648,0.6013383668573083,8.220338983050848,4.039863000926613,7.510608203677511,0.25035360678925034,6,13,50483.83587570621,21077.74776034234,0.8707881174778633,3860.095561009865,-1745.655064935065,0.2857142857142857,4.017045454545454,0.0
8,0.4899328859060403,619.4409589041095,638.8711842105262,0.9313134741560001,-0.10891998351669015,2.7114093959731544,1.3915541671747418,33.86363636363636,1.128787878787879,7,5,13493.809463087247,4925.542790634758,1.0592959215935802,837.418695051928,-1182.0487999999998,0.06666666666666667,0.8918918918918919,0.39864864864864863
9,0.6024096385542169,3167.3920000000003,2448.204696969697,1.9602440898095332,1.887102281841987,8.409638554216867,4.076647893844077,7.929936305732484,0.2643312101910828,4,8,46281.550843373494,19539.428561516834,0.98496170760969,3864.3445806273444,4505.329545454545,0.3939393939393939,3.806060606060606,0.0
10,0.49295774647887325,2679.735428571428,2285.883333333333,1.1397337280263646,0.771332089810563,8.422535211267606,4.374151254263051,7.802197802197803,0.2600732600732601,5,5,49104.119577464786,17771.12134808802,0.9300817604292967,3473.856865507432,-7854.312222222222,0.4444444444444444,3.9,0.0
11,0.6571428571428571,735.0830434782608,400.2488888888888,3.52008264302212,2.405262018151223,17.4,7.664353051126213,4.701492537313433,0.15671641791044777,4,7,13526.446571428572,2986.626894975664,1.0591732946850994,731.1693416464476,-88.88749999999992,0.05555555555555555,6.4423076923076925,0.0
12,0.7227722772277227,670.1189041095892,534.3739285714286,3.2694254357736394,2.577219967596507,17.940594059405942,6.848097227957876,5.083892617449664,0.16946308724832215,3,9,13588.472871287124,3258.47185786262,0.9299450079845601,714.5647642131469,-309.85571428571444,0.21428571428571427,5.96,0.0
13,0.5119047619047619,1563.7186046511627,1202.630243902439,1.3636756345441212,0.7461900132126844,6.011904761904762,2.914418033286944,13.125,0.4375,6,4,26958.174642857142,13647.487657566237,1.0472286819972647,1915.1291125980058,6061.680731707315,0.21951219512195122,2.3132530120481927,0.1566265060240964
14,0.52,2560.456153846154,1873.3316666666667,1.480692153640706,0.626753844497416,8.04,4.015073638992268,7.352941176470589,0.24509803921568626,4,4,47878.89599999999,19363.89437726401,1.082188212131964,2890.995320869578,7367.577826086956,0.30434782608695654,4.163265306122449,0.0
15,0.6588235294117647,2861.8575000000005,2990.685172413794,1.8478526486895457,2.266403624477486,8.2,3.8754416031012022,7.223796033994334,0.24079320113314448,4,10,46615.018000000004,20286.577660509436,0.9742506666142848,3676.024386633009,-1417.1189655172411,0.06896551724137931,4.2023809523809526,0.0
16,0.5895953757225434,1458.4023529411768,1079.3492957746482,1.9411413762595617,1.6765299227528212,5.5491329479768785,2.912315839014642,11.795454545454547,0.3931818181818182,4,8,24583.22231213873,12285.417466680152,1.0048872769524522,1868.6012306977061,5883.799436619719,0.39436619718309857,2.558139534883721,0.1569767441860465
17,0.5789473684210527,753.1972727272728,350.71375,2.952967341599809,2.1628276919115423,17.513157894736842,8.088664366140444,4.759916492693111,0.15866388308977036,4,7,13468.634342105266,3025.00573434755,0.9869063662880359,700.3181907054696,-963.7862500000001,0.34375,6.386666666666667,0.0
18,0.6136363636363636,707.3875925925927,659.721911764706,1.7029871543468964,1.2828272828664202,2.8863636363636362,1.4535223674671376,30.171428571428574,1.0057142857142858,3,8,13945.392102272726,5156.765878314886,0.9904095388144332,910.6430851855641,50.83089552238821,0.1044776119402985,1.0,0.34285714285714286
19,0.5227272727272727,802.6337681159421,632.4592063492063,1.389931667592339,0.8239369003759431,2.7954545454545454,1.4342518669206747,30.461538461538463,1.0153846153846153,6,5,13715.168106060606,5029.575476969506,1.0272927994261594,994.6731158518263,-76.963064516129,0.0967741935483871,0.9923664122137404,0.31297709923664124
20,0.6287878787878788,3082.59156626506,3247.512448979592,1.6078560852636279,1.7122453163841649,8.613636363636363,4.218548151672631,7.528517110266159,0.2509505703422053,3,6,47830.86795454546,20660.481049606093,1.060759460989949,4066.832422579547,-202.60081632653066,0.22448979591836735,4.015267175572519,0.0
21,0.5641025641025641,1550.5127272727275,1532.4450980392157,1.3093753798555943,0.7591259820557293,5.837606837606837,2.6747776735107287,12.491103202846974,0.41637010676156583,4,7,29271.04564102565,13865.10502275564,1.0304404313237718,2129.8560872524754,9458.33274509804,0.3333333333333333,2.4224137931034484,0.23275862068965517
22,0.6404494382022472,803.2566666666667,559.0740625000001,2.5592332634819734,2.3091117842091338,17.629213483146067,6.8546301910591625,5.0093808630394,0.1669793621013133,4,6,13857.750898876402,3275.6847087696588,0.9401605444816319,846.1641765134943,115.29281250000014,0.0625,6.056818181818182,0.0
23,0.746031746031746,735.1247872340425,506.5740625,4.262810164110998,3.203830598576214,16.206349206349206,7.358605803077058,4.554216867469879,0.15180722891566265,2,11,13101.025079365083,3076.1463827974753,1.010295350853669,731.7060024642824,122.58774193548385,0.1935483870967742,6.64,0.0
24,0.7410071942446043,743.8716504854369,450.65555555555557,4.722674375600977,3.18643994680788,18.071942446043167,7.998768281782454,4.537540805223069,0.1512513601741023,5,14,13601.240935251797,2953.1130794335636,0.9683930212334471,717.9204020190828,172.65314285714297,0.14285714285714285,6.659420289855072,0.0
